sid,AVG(B.temp)
040004cb,20.283061298512933
040005ff,19.528786764705842
28C2DDDD3FE7,22.765254237288097
28C2DDDD3FFA,22.644141414141387
28C2DDDD4003,22.443164893616984
28C2DDDD400A,23.023954248365964
28C2DDDD4023,24.184105263157882
28C2DDDD40E0,30.429727272727224
28C2DDDD40FD,24.51889908256877
28C2DDDD4140,30.44976562500007
28C2DDDD4149,22.555224719101087
28C2DDDD415C,23.057499999999962
28C2DDDD415F,25.992710280373792
28C2DDDD41B2,22.737287671232835
28C2DDDD41EB,21.942118644067747
28C2DDDD41ED,20.848000000000003
28C2DDDD41FA,22.314426666666634
28C2DDDD4229,22.577217630853948
28C2DDDD4233,22.923323699421918
28C2DDDD4236,23.290712250712208
28C2DDDD4239,23.080459770114896
28C2DDDD4242,23.22214285714282
28C2DDDD4244,23.10987499999996
28C2DDDD4246,23.071572700296695
28C2DDDD42F7,23.61785046728968
28C2DDDD432A,25.025855855855827
28C2DDDD4338,24.388253968253977
28C2DDDD433C,24.70702702702699
28C2DDDD4342,25.216981132075443
28C2DDDD4343,28.647943925233605
28C2DDDD4344,22.10725752508356
28C2DDDD4346,22.002000000000002
28C2DDDD434A,22.345046439628437
28C2DDDD434D,23.719275362318793
28C2DDDD4354,24.174774193548348
28C2DDDD4357,23.63317073170729
28C2DDDD435A,22.434289940828357
28C2DDDD4360,22.309914285714235
28C2DDDD4363,26.32868686868685
28C2DDDD4367,21.560000000000002
28C2DDDD436E,22.306398963730544
28C2DDDD436F,22.330878378378337
28C2DDDD4370,22.527499999999975
28C2DDDD4372,23.15252279635254
28C2DDDD4378,24.548860398860377
28C2DDDD437D,21.590000000000003
28C2DDDD4380,22.7095833333333
28C2DDDD4394,23.68201634877382
28C2DDDD43FC,23.49861356932149
28C2DDDD43FD,21.90290076335874
28C2DDDD4404,23.19827777777774
28C2DDDD4414,21.84481012658223
28C2DDDD4418,20.985567567567525
28C2DDDD441E,22.042434210526274
28C2DDDD443A,22.311901840490748
28C2DDDD44AA,26.655517241379336
28C2DDDD44F8,26.90662234042556
28C2DDDD4501,26.71749999999997
28C2DDDD4505,23.57709163346608
28C2DDDD450C,23.683550488599305
28C2DDDD4524,24.22317307692304
28C2DDDD4526,22.479583333333316
28C2DDDD452E,24.083579881656753
28C2DDDD4532,21.673461538461517
28C2DDDD4534,22.90172774869107
28C2DDDD4539,22.459055555555512
28C2DDDD4559,23.479898989898953
28C2DDDD455E,24.258083333333317
28C2DDDD4566,21.49406249999995
28C2DDDD4568,23.13406649616368
28C2DDDD4571,21.213446327683574
28C2DDDD4572,22.709624060150325
28C2DDDD4575,21.24900293255127
28C2DDDD4579,22.738759124087565
28C2DDDD457A,22.366246334310805
28C2DDDD457B,26.799320652173932
28C2DDDD457E,23.231574074074025
28C2DDDD4583,25.627078651685352
28C2DDDD458A,22.196650717703307
28C2DDDD458F,24.08246246246241
28C2DDDD4598,23.182918918918887
28C2DDDD4599,22.520359116022053
28C2DDDD459A,22.80253481894146
28C2DDDD459C,22.74135135135131
28C2DDDD459E,23.881261261261223
28C2DDDD459F,23.982773109243674
28C2DDDD45A1,23.222260273972555
28C2DDDD45AA,22.272574525745213
28C2DDDD45D9,31.2810084033613
